cn,name,org
United States of America,Simon Abrams,Freelance film critic
United States of America,Sam Adams,Freelance film critic
United States of America,Thelma Adams,Freelance film critic
Mexico,Arturo Aguilar,Rolling Stone Mexico
United Kingdom,Matthew Anderson,BBC Culture
United States of America,Tim Appelo,The Wrap
Italy,Adriano Aprà,Film historian
United States of America,Michael Arbeiter,Nerdist
Turkey,Ali Arikan,Dipnot TV
United States of America,Michael Atkinson,The Village Voice
Brazil,Ana Maria Bahiana,Freelance film critic
Canada,Cameron Bailey,Toronto Film Festival
United Kingdom,Lindsay Baker,BBC Culture
United States of America,Miriam Bale,Freelance film critic
United Kingdom,Nicholas Barber,BBC Culture
Argentina,Diego Batlle,La Nacion
France,NT Binh,Positif
United Kingdom,Lizelle Bisschoff,University of Glasgow
United States of America,Christian Blauvelt,BBC Culture
United States of America,Mahen Bonetti,African Film Festival Inc
Germany,Andreas Borcholte,Spiegel Online
India,Utpal Borpujari,Freelance film critic
United States of America,Richard Brody,The New Yorker
Israel,Hannah Brown,Jerusalem Post
Australia,Luke Buckmaster,The Guardian/BBC Culture
Cuba,Luciano Castillo,Cinemateca de Cuba
United States of America,Monica Castillo,New York Times Watching
Colombia,Samuel Castro,El Colombiano
United States of America,Justin Chang,Los Angeles Times
Senegal,Enrico Chiesa,AfricaFilms.TV
South Korea,Cho Seongyong,Freelance film critic
United Kingdom,Robbie Collin,The Telegraph
United States of America,Scott Collura,IGN
United States of America,Colin Covert,Minneapolis Star-Tribune
Philippines,Oggs Cruz,Rappler.com
United States of America,Ken Dancyger,New York University
United States of America,Erik Davis,Fandango
United States of America,Peter Debruge,Variety
Belgium,Fernand Denis,La Libre Belgique
United Kingdom,Lindiwe Dovey,University of London
United States of America,Alonso Duralde,TheWrap
United States of America,Bilge Ebiri,The Village Voice
United States of America,David Ehrlich,IndieWire
United States of America,Kate Erbland,IndieWire
Cuba,Mario Espinosa,Cinemateca de Cuba
Egypt,Joseph Fahim,Freelance film critic
United States of America,Devin Faraci,Birth.Movies.Death.
United States of America,David Fear,Rolling Stone
United States of America,Scott Feinberg,The Hollywood Reporter
Argentina,Javier Porta Fouz,La Nacion
United States of America,Kenji Fujishima,Freelance film critic
Chile,Ernesto Garratt,El Mercurio
United States of America,Steven Gaydos,Variety
United States of America,Noah Gittell,Washington City Paper
United States of America,Owen Gleiberman,Variety
United States of America,Ed Gonzalez,Slant Magazine
Colombia,Juan Carlos González,El Tiempo
Germany,Carmen Gray,Berlin Critics’ Week
United States of America,Tim Grierson,Screen International
France,Jean-Philippe Guerand,"""LAvant-Scène Cinéma"""
France,Antoine Guillot,France Culture
United States of America,Tom Gunning,University of Chicago
India,Shubhra Gupta,The Indian Express
Lebanon,Hauvick Habechian,An-Nahar Newspaper
United States of America,Angie Han,Slashfilm
United States of America,Aisha Harris,Slate
Canada,Tina Hassannia,Freelance film critic
Japan,Shiguehiko Hasumi,University of Tokyo
South Africa,Katarina Hedrén,Freelance film critic
United States of America,Jordan Hoffman,Freelance film critic
United States of America,Michael Hogan,Vanity Fair
United States of America,Ann Hornaday,The Washington Post
Austria,Alexander Horwath,Austrian Film Museum
Canada,Peter Howell,The Toronto Star
United States of America,Annette Insdorf,Columbia University
India,Aysha Iqbal,Indian Institute of Technology
Kazakhstan,Zhanna Issabayeva,Freelance film critic
United Kingdom,Larushka Ivan-Zadeh,Metro
United Kingdom,Nick James,Sight & Sound
United Kingdom,David Jenkins,Little White Lies
United States of America,Kent Jones,Film Comment
Colombia,Manuel Kalmanovitz,Revista Semana
Austria,Dominik Kamalzadeh,Der Standard
United States of America,Dave Karger,Freelance
UAE,Butheina Kazim,Cinema Akil
United States of America,Glenn Kenny,Freelance
Germany,Andreas Kilb,Frankfurter Allgemeine Zeitung
Israel,Uri Klein,Haaretz
United States of America,Eric Kohn,IndieWire
United States of America,Dan Kois,Slate
United States of America,Michael Koresky,The Film Society of Lincoln Center
United States of America,Tomris Laffly,Freelance film critic
United Kingdom,Rebecca Laurence,BBC Culture
United States of America,Richard Lawson,Vanity Fair
Hong Kong,Maggie Lee,Variety
UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
United Kingdom,Guy Lodge,Variety/The Observer
Cuba,Mario Naito López,Cuban Film Press Association
Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
United Kingdom,Fiona Macdonald,BBC Culture
India,Laya Maheshwari,Freelance film critic
Namibia,Hans-Christian Mahnke,AfricAvenir.org
United States of America,Ben Mankiewicz,Turner Classic Movies
Canada,Calum Marsh,Freelance film critic
Italy,Lee Marshall,Screen International
Australia,Adrian Martin,Lola Magazine
Chile,Antonio Martínez,El Mercurio
United States of America,Todd McCarthy,The Hollywood Reporter
United States of America,Joe McElhaney,Hunter College
United States of America,Drew McWeeny,HitFix
United States of America,Kim Morgan,Sight & Sound/Criterion
United Kingdom,Kate Muir,The Times
United States of America,Chris Nashawaty,Entertainment Weekly
United States of America,Farran Smith Nehme,The New York Post/Film Comment
United States of America,Joe Neumaier,WOR-710AM New York
UAE,Chris Newbould,The National
United States of America,Amy Nicholson,MTV News
Singapore,Ong Soh Chin,Freelance
Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
United States of America,Matthew Patches,Thrillist
United States of America,Steve Persall,Tampa Bay Times
United States of America,Michael Phillips,Chicago Tribune
United States of America,Keith Phipps,Uproxx
Germany,Hannah Pilarczyk,Der Spiegel
France,Agnès C Poirier,Marianne
United States of America,Claudia Puig,Freelance film critic
Bangladesh,Zakir Hossein Raju,Independent University
Cuba,Alberto Ramos Ruiz,La Habana International Festival of New Latin American Cinema
United States of America,Jordan Raup,The Film Stage
France,Isabelle Regnier,Le Monde
Colombia,Mauricio Reina,El Tiempo
United States of America,Scott Renshaw,Salt Lake City Weekly
United States of America,Katey Rich,Vanity Fair
United States of America,Carrie Rickey,Freelance film critic
United Kingdom,Sam Rigby,BBC Culture
Cuba,Antonio\xa0Mazón Robau,Cinemateca de Cuba
United Kingdom,Tim Robey,The Daily Telegraph
United States of America,Tasha Robinson,The Verge
United States of America,Rene Rodriguez,The Miami Herald
United Kingdom,Jonathan Romney,Freelance film critic
United States of America,Alyssa Rosenberg,The Washington Post
Italy,E Nina Rothe,The Huffington Post
United States of America,Joshua Rothkopf,Time Out New York
Lebanon,Mohammed Rouda,Asharq Al-Awsat
United States of America,Mike Ryan,Uproxx
India,Alaka Sahani,The Indian Express
Lebanon,Rasha Salti,Independent curator/film programmer
Indonesia,Eric Sasono,Freelance film critic
United States of America,Nick Schager,Variety
United States of America,Missy Schwartz,Freelance film critic
United States of America,Matt Zoller Seitz,New York Magazine
Israel,Avner Shavit,Walla
United Kingdom,Catherine Shoard,The Guardian
Israel,Yael Shuv,Time Out Tel Aviv
United States of America,Matt Singer,ScreenCrush
Canada,Justine A Smith,Freelance film critic
United States of America,Eric D Snider,Freelance film critic
South Korea,Soh Jae Yong,Seoul Institute of the Arts
Mexico,Fernanda Solórzano,Letras Libres Magazine
Australia,David Stratton,The Australian
Italy,Cédric Succivalli,International Cinephile Society
Turkey,Alin Tasciyan,Star
United States of America,Charles Taylor,The Yale Review
United States of America,Ella Taylor,NPR.org
Singapore,Stephen Teo,Nanyang Techological University
United States of America,Kristin Thompson,University of Wisconsin-Madison
United States of America,Scott Tobias,Freelance film critic
United States of America,Peter Travers,Rolling Stone
United States of America,Brian Truitt,United States of AmericaA Today
United Kingdom,Rahul Verma,Freelance film critic
Taiwan,Wen Tien-Hsiang,Taipei Golden Horse Film Festival
United States of America,Stephen Whitty,Freelance film critic
United States of America,Alissa Wilkinson,Christianity Today
Australia,Jake Wilson,Fairfax Media
United States of America,Stephanie Zacharek,Time Magazine
Qatar,Chadi Zeneddine,Doha Film Institute
China,Raymond Zhou,China Daily
