properties.name,properties.article,properties.headline
Argentina,<p>The Headless Woman: 6 votes</p>,1
Australia,<p>Moulin Rouge!: 6 votes</p><p> Mad Max: Fury Road: 14 votes</p>,2
Austria,<p>Amour: 8 votes</p>,1
Brazil,<p>City of God: 10 votes</p>,1
Canada,<p>Stories We Tell: 6 votes</p>,1
China,"<p>A Touch of Sin: 4 votes</p><p> Crouching Tiger, Hidden Dragon: 8 votes</p><p> Yi Yi: A One and a Two: 22 votes</p><p> In the Mood for Love: 49 votes</p>",4
Denmark,<p>The Look of Silence: 4 votes</p><p> Melancholia: 7 votes</p>,2
France,<p>Nostalgia for the Light: 4 votes</p><p> The Artist: 4 votes</p><p> 35 Shots of Rum: 5 votes</p><p> Amélie: 5 votes</p><p> Femme Fatale: 5 votes</p><p> The Diving Bell and the Butterfly: 5 votes</p><p> A Prophet: 7 votes</p><p> Blue Is the Warmest Color: 7 votes</p><p> Certified Copy: 9 votes</p><p> Caché: 13 votes</p><p> Holy Motors: 16 votes</p>,11
Germany,<p>Toni Erdmann: 6 votes</p><p> Only Lovers Left Alive: 7 votes</p><p> Inglourious Basterds: 10 votes</p><p> The Lives of Others: 10 votes</p><p> The White Ribbon: 13 votes</p>,5
Hungary,<p>The Turin Horse: 6 votes</p><p> Son of Saul: 10 votes</p>,2
Iran,<p>A Separation: 28 votes</p>,1
Italy,<p>The Great Beauty: 6 votes</p>,1
Japan,<p>Spirited Away: 34 votes</p>,1
Mauritania,<p>Timbuktu: 9 votes</p>,1
Netherlands,<p>Dogville: 5 votes</p>,1
Poland,<p>Ida: 6 votes</p>,1
Romania,"<p>4 Months, 3 Weeks & 2 Days: 17 votes</p>",1
Russia,<p>The Return: 5 votes</p>,1
South Korea,<p>Oldboy: 11 votes</p>,1
Spain,"<p>Talk to Her: 13 votes</p><p> ""Pans Labyrinth"": 17 votes</p>",2
Switzerland,<p>Goodbye to Language: 6 votes</p>,1
Thailand,<p>Syndromes and a Century: 5 votes</p><p> Tropical Malady: 6 votes</p><p> Uncle Boonmee Who Can Recall His Past Lives: 9 votes</p>,3
Turkey,<p>Once Upon a Time in Anatolia: 7 votes</p>,1
United Kingdom,<p>Casino Royale: 4 votes</p><p> Far From Heaven: 5 votes</p><p> Fish Tank: 5 votes</p><p> Selma: 5 votes</p><p> The Assassin: 5 votes</p><p> The Son: 5 votes</p><p> Brooklyn: 6 votes</p><p> Carol: 6 votes</p><p> Elephant: 6 votes</p><p> The Royal Tenenbaums: 7 votes</p><p> Under the Skin: 7 votes</p><p> Tabu: 8 votes</p><p> 25th Hour: 12 votes</p><p> Zodiac: 15 votes</p><p> The Act of Killing: 16 votes</p><p> Mulholland Drive: 47 votes</p>,16
United States of America,"<p>Almost Famous: 4 votes</p><p> Fruitvale Station: 4 votes</p><p> Inherent Vice: 4 votes</p><p> Ratatouille: 4 votes</p><p> The Wolf of Wall Street: 4 votes</p><p> Before Sunset: 5 votes</p><p> Birdman: 5 votes</p><p> Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan: 5 votes</p><p> Kill Bill: Vol. 1: 5 votes</p><p> Moonrise Kingdom: 5 votes</p><p> Zero Dark Thirty: 5 votes</p><p> A History of Violence: 6 votes</p><p> Her: 6 votes</p><p> The Hurt Locker: 6 votes</p><p> Inception: 7 votes</p><p> Spring Breakers: 7 votes</p><p> A Serious Man: 8 votes</p><p> Inside Out: 8 votes</p><p> The New World: 8 votes</p><p> Leviathan: 9 votes</p><p> Margaret: 9 votes</p><p> The Dark Knight: 9 votes</p><p> 12 Years a Slave: 10 votes</p><p> The Master: 10 votes</p><p> Brokeback Mountain: 11 votes</p><p> Memento: 11 votes</p><p> WALL-E: 11 votes</p><p> Lost in Translation: 12 votes</p><p> Synecdoche, New York: 12 votes</p><p> The Grand Budapest Hotel: 12 votes</p><p> The Social Network: 13 votes</p><p> Children of Men: 18 votes</p><p> Inside Llewyn Davis: 20 votes</p><p> No Country For Old Men: 21 votes</p><p> The Tree of Life: 23 votes</p><p> Eternal Sunshine of the Spotless Mind: 29 votes</p><p> Boyhood: 30 votes</p><p> There Will Be Blood: 35 votes</p>",38
