properties.name,properties.article,properties.headline
Argentina,<p>Diego Batlle: Freelance film critic</p><p> Javier Porta Fouz: Freelance film critic</p>,2
Australia,<p>Adrian Martin: Freelance film critic</p><p> David Stratton: Rolling Stone Mexico</p><p> Jake Wilson: BBC Culture</p><p> Luke Buckmaster: The Wrap</p>,4
Austria,<p>Alexander Horwath: Film historian</p><p> Dominik Kamalzadeh: Nerdist</p>,2
Bangladesh,<p>Zakir Hossein Raju: Dipnot TV</p>,1
Belgium,<p>Fernand Denis: The Village Voice</p>,1
Brazil,<p>Ana Maria Bahiana: Freelance film critic</p>,1
Canada,<p>Calum Marsh: Toronto Film Festival</p><p> Cameron Bailey: BBC Culture</p><p> Justine A Smith: Freelance film critic</p><p> Peter Howell: BBC Culture</p><p> Tina Hassannia: La Nacion</p>,5
Chile,<p>Antonio Martínez: Positif</p><p> Ernesto Garratt: University of Glasgow</p>,2
China,<p>Raymond Zhou: BBC Culture</p>,1
Colombia,<p>Juan Carlos González: African Film Festival Inc</p><p> Manuel Kalmanovitz: Spiegel Online</p><p> Mauricio Reina: Freelance film critic</p><p> Samuel Castro: The New Yorker</p>,4
Cuba,<p>Alberto Ramos Ruiz: Jerusalem Post</p><p> Antonio\xa0Mazón Robau: The Guardian/BBC Culture</p><p> Luciano Castillo: Cinemateca de Cuba</p><p> Mario Espinosa: New York Times Watching</p><p> Mario Naito López: El Colombiano</p>,5
Egypt,<p>Joseph Fahim: Los Angeles Times</p>,1
France,<p>Agnès C Poirier: AfricaFilms.TV</p><p> Antoine Guillot: Freelance film critic</p><p> Isabelle Regnier: The Telegraph</p><p> Jean-Philippe Guerand: IGN</p><p> NT Binh: Minneapolis Star-Tribune</p>,5
Germany,<p>Andreas Borcholte: Rappler.com</p><p> Andreas Kilb: New York University</p><p> Carmen Gray: Fandango</p><p> Hannah Pilarczyk: Variety</p><p> Verena Lueken: La Libre Belgique</p>,5
China,<p>Maggie Lee: University of London</p>,1
India,<p>Alaka Sahani: TheWrap</p><p> Aysha Iqbal: The Village Voice</p><p> Laya Maheshwari: IndieWire</p><p> Shubhra Gupta: IndieWire</p><p> Utpal Borpujari: Cinemateca de Cuba</p>,5
Indonesia,<p>Eric Sasono: Freelance film critic</p>,1
Israel,<p>Avner Shavit: Birth.Movies.Death.</p><p> Hannah Brown: Rolling Stone</p><p> Uri Klein: The Hollywood Reporter</p><p> Yael Shuv: La Nacion</p>,4
Italy,<p>Adriano Aprà: Freelance film critic</p><p> Cédric Succivalli: El Mercurio</p><p> E Nina Rothe: Variety</p><p> Lee Marshall: Washington City Paper</p>,4
Japan,<p>Shiguehiko Hasumi: Variety</p>,1
Kazakhstan,<p>Zhanna Issabayeva: Slant Magazine</p>,1
Lebanon,<p>Hauvick Habechian: El Tiempo</p><p> Mohammed Rouda: Berlin Critics’ Week</p><p> Rasha Salti: Screen International</p>,3
Mexico,"<p>Arturo Aguilar: ""LAvant-Scène Cinéma""</p><p> Fernanda Solórzano: France Culture</p>",2
Namibia,<p>Hans-Christian Mahnke: University of Chicago</p>,1
Philippines,<p>Oggs Cruz: The Indian Express</p>,1
Qatar,<p>Chadi Zeneddine: An-Nahar Newspaper</p>,1
Senegal,<p>Enrico Chiesa: Slashfilm</p>,1
Singapore,<p>Ong Soh Chin: Slate</p><p> Stephen Teo: Freelance film critic</p>,2
South Africa,<p>Katarina Hedrén: University of Tokyo</p>,1
South Korea,<p>Cho Seongyong: Freelance film critic</p><p> Soh Jae Yong: Freelance film critic</p>,2
Switzerland,<p>Susanne Ostwald: Vanity Fair</p>,1
Taiwan,<p>Wen Tien-Hsiang: The Washington Post</p>,1
Turkey,<p>Ali Arikan: Austrian Film Museum</p><p> Alin Tasciyan: The Toronto Star</p>,2
United Arab Emirates,<p>Anastasiya Lelyukh: Columbia University</p><p> Butheina Kazim: Indian Institute of Technology</p><p> Chris Newbould: Freelance film critic</p>,3
United Kingdom,<p>Catherine Shoard: Metro</p><p> David Jenkins: Sight & Sound</p><p> Fiona Macdonald: Little White Lies</p><p> Guy Lodge: Film Comment</p><p> Jonathan Romney: Revista Semana</p><p> Kate Muir: Der Standard</p><p> Larushka Ivan-Zadeh: Freelance</p><p> Lindiwe Dovey: Cinema Akil</p><p> Lindsay Baker: Freelance</p><p> Lizelle Bisschoff: Frankfurter Allgemeine Zeitung</p><p> Matthew Anderson: Haaretz</p><p> Nicholas Barber: IndieWire</p><p> Nick James: Slate</p><p> Rahul Verma: The Film Society of Lincoln Center</p><p> Rebecca Laurence: Freelance film critic</p><p> Robbie Collin: BBC Culture</p><p> Sam Rigby: Vanity Fair</p><p> Tim Robey: Variety</p>,18
