properties.name,properties.article,properties.headline
Argentina,<p>Gaspar Noé: 52 votes</p><p> Lucrecia Martel: 52 votes</p>,2
Australia,<p>Baz Luhrmann: 51 votes</p><p> George Miller: 48 votes</p>,2
Belgium,<p>Agnès Varda: 39 votes</p><p> Jean-Pierre and Luc Dardenne: 35 votes</p>,2
Brazil,<p>Fernando Meirelles and Kátia Lund: 35 votes</p>,1
Canada,<p>David Cronenberg: 32 votes</p><p> Sarah Polley: 31 votes</p>,2
Chile,<p>Patricio Guzmán: 31 votes</p>,1
China,<p>Tsai Ming-liang: 30 votes</p><p> Jia Zhangke: 28 votes</p><p> Edward Yang: 28 votes</p><p> Wong Kar-wai: 24 votes</p>,4
Denmark,<p>Lars von Trier: 22 votes</p>,1
France,<p>Michel Hazanavicius: 21 votes</p><p> Jean-Pierre Jeunet: 21 votes</p><p> Roman Polanski: 20 votes</p><p> Jacques Audiard: 19 votes</p><p> Claire Denis: 18 votes</p><p> Jean-Luc Godard: 17 votes</p><p> Leos Carax: 16 votes</p><p> Michel Gondry: 16 votes</p>,8
Germany,<p>Werner Herzog: 16 votes</p><p> Maren Ade: 16 votes</p><p> Florian Henckel von Donnersmarck: 15 votes</p><p> Hou Hsiao-hsien: 15 votes</p><p> Michael Haneke: 15 votes</p>,5
Hungary,<p>Béla Tarr and Ágnes Hranitzky: 15 votes</p><p> László Nemes: 15 votes</p>,2
Iran,<p>Jafar Panahi: 14 votes</p><p> Abbas Kiarostami: 14 votes</p><p> Asghar Farhadi: 13 votes</p>,3
Ireland,<p>John Crowley: 12 votes</p>,1
Israel,<p>Ari Folman: 12 votes</p>,1
Italy,<p>Nanni Moretti: 12 votes</p><p> Paolo Sorrentino: 12 votes</p>,2
Japan,<p>Kiyoshi Kurosawa: 11 votes</p><p> Hayao Miyazaki: 11 votes</p>,2
Mauritania,<p>Abderrahmane Sissako: 11 votes</p>,1
Mexico,<p>Alejandro González Iñárritu: 11 votes</p><p> Guillermo Del Toro: 10 votes</p><p> Alfonso Cuarón: 10 votes</p>,3
Poland,<p>Paweł Pawlikowski: 10 votes</p>,1
Portugal,<p>Miguel Gomes: 10 votes</p>,1
Romania,<p>Cristi Puiu: 10 votes</p><p> Cristian Mungiu: 10 votes</p>,2
Russia,<p>Aleksandr Sokurov: 10 votes</p><p> Andrey Zvyagintsev: 9 votes</p>,2
Senegal,<p>Ousmane Sembène: 9 votes</p>,1
South Korea,<p>Kim Ki-duk: 9 votes</p><p> Lee Chang-dong: 9 votes</p><p> Bong Joon-ho: 9 votes</p><p> Park Chan-wook: 8 votes</p>,4
Spain,<p>Pedro Almodóvar: 8 votes</p>,1
Sweden,<p>Tomas Alfredson: 8 votes</p><p> Roy Andersson: 8 votes</p>,2
Taiwan,<p>Ang Lee: 7 votes</p>,1
Thailand,<p>Apichatpong Weerasethakul: 7 votes</p>,1
Tunisia,<p>Abdellatif Kechiche: 7 votes</p>,1
Turkey,<p>Nuri Bilge Ceylan: 7 votes</p>,1
United Kingdom,<p>Lynne Ramsay: 7 votes</p><p> Andrea Arnold: 7 votes</p><p> Jonathan Glazer: 7 votes</p><p> Christopher Nolan: 7 votes</p>,4
United States of America,<p>Brad Bird and Jan Pinkava: 7 votes</p><p> Cameron Crowe: 6 votes</p><p> Ryan Coogler: 6 votes</p><p> Brian De Palma: 6 votes</p><p> Don Hertzfeldt: 6 votes</p><p> Julian Schnabel: 6 votes</p><p> Larry Charles: 6 votes</p><p> Alexander Payne: 6 votes</p><p> Ava DuVernay: 6 votes</p><p> Darren Aronofsky: 6 votes</p><p> Gus Van Sant: 6 votes</p><p> Harmony Korine: 6 votes</p><p> Jim Jarmusch: 6 votes</p><p> Martin Scorsese: 5 votes</p><p> Pete Docter: 5 votes</p><p> Clint Eastwood: 5 votes</p><p> Spike Jonze: 5 votes</p><p> Steven Spielberg: 5 votes</p><p> Kathryn Bigelow: 5 votes</p><p> Andrew Stanton: 5 votes</p><p> Charlie Kaufman: 5 votes</p><p> Todd Haynes: 5 votes</p><p> Spike Lee: 5 votes</p><p> Sofia Coppola: 5 votes</p><p> Steve McQueen: 4 votes</p><p> Kenneth Lonergan: 4 votes</p><p> Quentin Tarantino: 4 votes</p><p> Joshua Oppenheimer: 4 votes</p><p> Wes Anderson: 4 votes</p><p> David Fincher: 4 votes</p><p> Terrence Malick: 4 votes</p><p> Richard Linklater: 4 votes</p><p> David Lynch: 4 votes</p><p> Joel and Ethan Coen: 4 votes</p><p> Paul Thomas Anderson: 4 votes</p>,35
