count,director,country
52,Paul Thomas Anderson,United States of America
52,Joel and Ethan Coen,United States of America
51,Wong Kar-wai,China
48,David Lynch,United States of America
39,Richard Linklater,United States of America
35,Michael Haneke,Germany
35,Hayao Miyazaki,Japan
32,Terrence Malick,United States of America
31,Asghar Farhadi,Iran
31,David Fincher,United States of America
30,Michel Gondry,France
28,Wes Anderson,United States of America
28,Christopher Nolan,United Kingdom
24,Alfonso Cuarón,Mexico
22,Edward Yang,China
21,Ang Lee,Taiwan
21,Apichatpong Weerasethakul,Thailand
20,Joshua Oppenheimer,United States of America
19,Quentin Tarantino,United States of America
18,Cristian Mungiu,Romania
17,Guillermo Del Toro,Mexico
16,Kenneth Lonergan,United States of America
16,Leos Carax,France
16,Pedro Almodóvar,Spain
16,Lars von Trier,Denmark
15,Abbas Kiarostami,Iran
15,Nuri Bilge Ceylan,Turkey
15,Steve McQueen,United States of America
15,Andrey Zvyagintsev,Russia
15,Sofia Coppola,United States of America
14,Spike Lee,United States of America
14,George Miller,Australia
13,Jia Zhangke,China
12,Todd Haynes,United States of America
12,Charlie Kaufman,United States of America
12,Park Chan-wook,South Korea
12,Andrew Stanton,United States of America
11,Kathryn Bigelow,United States of America
11,Abderrahmane Sissako,Mauritania
11,Jonathan Glazer,United Kingdom
11,Alejandro González Iñárritu,Mexico
10,Béla Tarr and Ágnes Hranitzky,Hungary
10,László Nemes,Hungary
10,Hou Hsiao-hsien,Germany
10,Florian Henckel von Donnersmarck,Germany
10,Jean-Luc Godard,France
10,Claire Denis,France
10,Fernando Meirelles and Kátia Lund,Brazil
9,Spike Jonze,United States of America
9,Jacques Audiard,France
9,Steven Spielberg,United States of America
9,Miguel Gomes,Portugal
9,Clint Eastwood,United States of America
8,Lucrecia Martel,Argentina
8,Maren Ade,Germany
8,Martin Scorsese,United States of America
8,Pete Docter,United States of America
7,Andrea Arnold,United Kingdom
7,Bong Joon-ho,South Korea
7,Sarah Polley,Canada
7,Paolo Sorrentino,Italy
7,Abdellatif Kechiche,Tunisia
7,Jean-Pierre and Luc Dardenne,Belgium
7,Gus Van Sant,United States of America
7,Harmony Korine,United States of America
7,Jim Jarmusch,United States of America
6,Baz Luhrmann,Australia
6,David Cronenberg,Canada
6,Paweł Pawlikowski,Poland
6,Werner Herzog,Germany
6,Alexander Payne,United States of America
6,Ari Folman,Israel
6,John Crowley,Ireland
6,Lee Chang-dong,South Korea
6,Ava DuVernay,United States of America
6,Roy Andersson,Sweden
6,Kim Ki-duk,South Korea
6,Darren Aronofsky,United States of America
5,Roman Polanski,France
5,Lynne Ramsay,United Kingdom
5,Brian De Palma,United States of America
5,Jean-Pierre Jeunet,France
5,Nanni Moretti,Italy
5,Tsai Ming-liang,China
5,Don Hertzfeldt,United States of America
5,Aleksandr Sokurov,Russia
5,Larry Charles,United States of America
5,Julian Schnabel,United States of America
5,Jafar Panahi,Iran
4,Cameron Crowe,United States of America
4,Brad Bird and Jan Pinkava,United States of America
4,Gaspar Noé,Argentina
4,Tomas Alfredson,Sweden
4,Ousmane Sembène,Senegal
4,Patricio Guzmán,Chile
4,Michel Hazanavicius,France
4,Cristi Puiu,Romania
4,Kiyoshi Kurosawa,Japan
4,Ryan Coogler,United States of America
4,Agnès Varda,Belgium
