Operator ID,Operator name,Mine name,State,Mine type,Coal or metal,Status,Commodity
3503598,Newberg Rock & Dirt  ,Newberg Rock & Dirt,OR ,Surface,M ,Active ,"Crushed, Broken Stone NEC "
1401575,Bender Sand & Dirt  ,BENDER SAND & DIRT,KS ,Surface,M ,Intermittent ,Construction Sand and Gravel 
5001797,Dirt Company  ,Bush Pilot,AK ,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103723,Dirt Doctor Inc  ,Rock Lake Plant,MN ,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103914,Dirt Work Specialists LLC  ,Astec Plant,MN ,Surface,M ,Intermittent ,Construction Sand and Gravel 
4104757,Dirt Works  ,Portable #1,TX ,Surface,M ,Intermittent ,Construction Sand and Gravel 
0801306,"Holley Dirt Company, Inc  ",River Road Pit,FL ,Surface,M ,Active ,"Sand, Common "
3901432,Krueger Brothers Gravel & Dirt  ,PORTABLE SCREENER,SD ,Surface,M ,Intermittent ,Construction Sand and Gravel 
3609624,M R Dirt  ,Forbes Pit,PA ,Surface,M ,Temporarily Idled ,Construction Sand and Gravel 
3609931,M.R. Dirt Inc.  ,Camptown Quarry,PA ,Surface,M ,Intermittent ,Dimension Stone NEC 
1519799,"P B Dirt Movers, Inc  ",Fedscreek Surface,KY ,Surface,C ,Active ,Coal (Bituminous) 
4407379,"P B Dirt Movers, Inc.  ",No. 3,VA ,Surface,C ,New Mine , 
4407296,PB Dirt Movers  ,Mine No. 6,VA ,Underground,C ,Temporarily Idled ,Coal (Bituminous) 
0203332,"Prescott Dirt, LLC  ",Sandretto Drive,AZ ,Surface,M ,Intermittent ,Construction Sand and Gravel 
2901986,R D Blankenship Dirt Work LLC  ,R D BLANKENSHIP DIRT WORK,NM ,Surface,M ,Active ,Construction Sand and Gravel 
0801417,"Sand & Dirt, Inc  ",Molino Pit,FL ,Surface,M ,Active ,"Sand, Common "
4300768,SIMPSON DIRTWORX LLC  ,Pettibone Jaw Crusher,VT ,Surface,M ,Intermittent ,Construction Sand and Gravel 
4300776,SIMPSON DIRTWORX LLC  ,Chieftan 1400,VT ,Surface,M ,Intermittent ,Construction Sand and Gravel 
2302283,"Spry's Dirt & Gravel, Inc.  ",Mike's Money Pit,MO ,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103518,Vogt Dirt Service  ,Crusher,MN ,Surface,M ,Intermittent ,Construction Sand and Gravel 
